ship,engine,shipsize
s1,1,1
s2,1,1
s3,1,1
s4,1,1
s5,1,1
s6,1,1
s7,1,1
s8,2,3
s9,2,3
s10,2,3
s11,2,3
s12,2,3
s13,2,3
s14,2,3
s15,2,3
s16,2,3
s17,2,3
s18,2,3
s19,2,3
s20,2,3
s21,2,3
s22,2,3
s23,2,3
s24,2,3
s25,2,3
s26,2,3
s27,2,3
s28,2,3
s29,2,3
s30,2,3
s31,2,3
s32,2,3
s33,2,3
s34,3,5
s35,3,5
s36,3,5
s37,3,5
s38,3,5
s39,3,5
s40,3,5
s41,3,5
s42,3,5
s43,3,5
s44,3,5
s45,3,5
s46,3,5
s47,3,5
s48,3,5
s49,3,5
s50,3,5
s51,3,5
s52,3,5
s53,3,5
s54,3,5
s55,3,5
s56,3,5
s57,3,5
s58,3,5
s59,3,5
s60,3,5
s61,3,5
s62,3,5
s63,3,5
s64,3,5
s65,3,5
s66,3,5
s67,3,5
s68,3,5
s69,3,5
s70,3,5
s71,3,5
s72,3,5
s73,3,5
s74,3,5
s75,3,5
s76,3,5
s77,4,4
s78,4,4
s79,4,4
s80,4,4
s81,4,4
s82,4,4
s83,4,4
s84,4,4
s85,4,4
s86,4,4
s87,4,4
s88,4,4
s89,4,4
s90,4,4
s91,4,4
s92,4,4
s93,4,4
s94,4,4
s95,4,4
s96,5,2
s97,5,2
s98,5,2
s99,5,2
