age,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,4.0,,11.0,,,,,,1.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,13.0,,8.0,1.0,,1.0,,3.0,,,45.0,35.0,2.0,113.0,21.0,54.0,80.0,,,54.0,14.0,20.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,7.0,5.0,27.0,17.0,,,25.0,56.0,76.0,13.0,,29.0,33.0,56.0,13.0,15.0,40.0,,81.0,32.0,50.0,4.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,52.0,5.0,78.0,31.0,25.0,,1.0,13.0,68.0,47.0,,62.0,99.0,11.0,,20.0,,30.0,57.0,80.0,33.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,46.0,51.0,79.0,,28.0,,35.0,37.0,31.0,17.0,,83.0,69.0,71.0,,69.0,22.0,,41.0,43.0,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,37.0,44.0,58.0,1.0,80.0,24.0,46.0,46.0,49.0,14.0,,14.0,21.0,53.0,,100.0,,,,3.0,,12.0
7,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,82.0,,,,73.0,65.0,118.0,7.0,45.0,22.0,,74.0,97.0,38.0,,61.0,,,,,,
8,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,42.0,,,,22.0,17.0,38.0,,,,,24.0,12.0,,,37.0,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,49.0,33.0,4.0,,,,,2.0,,,,57.0,,,,,,
10,,,3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,28.0,,,,,,,,,,52.0,,,,,,
11,,,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,
12,9.0,22.0,17.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28.0,14.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,26.0,7.0,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,34.0,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,33.0,8.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,32.0,25.0,17.0,,,,,,19.0,,,,,,,,,,,,,,25.0,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,55.0,96.0,36.0,,,,,,59.0,,,,,,,,,,,,,,37.0,,,,,,,,,,3.0,,,,,,,,,,1.0,21.0,40.0,1.0,3.0,6.0,39.0,31.0,23.0,61.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,24.0,50.0,53.0,,,,,,28.0,,,,,,,,,,,,,,10.0,,,,,,,,,,30.0,,,,,,,,,18.0,43.0,21.0,32.0,41.0,60.0,40.0,36.0,15.0,27.0,12.0,61.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,74.0,16.0,8.0,,,,,,10.0,,,,,,,,,,0.0,0.0,,22.0,13.0,,,,,,,,24.0,0.0,15.0,,,,,,0.0,0.0,8.0,79.0,15.0,67.0,67.0,66.0,61.0,41.0,42.0,82.0,58.0,108.0,69.0,45.0,,0.0,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,57.0,,6.0,,,,,4.0,12.0,,,,,,,,0.0,1.0,17.0,0.0,0.0,62.0,28.0,,6.0,,31.0,47.0,40.0,32.0,21.0,0.0,20.0,,,,,,56.0,37.0,34.0,13.0,0.0,26.0,56.0,45.0,48.0,53.0,58.0,61.0,80.0,71.0,106.0,67.0,,0.0,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27.0,,,,,,,38.0,19.0,,,,,,,4.0,10.0,36.0,34.0,,,21.0,36.0,9.0,18.0,,35.0,36.0,48.0,79.0,43.0,16.0,11.0,,,,25.0,8.0,27.0,37.0,52.0,,2.0,46.0,91.0,58.0,27.0,59.0,25.0,9.0,31.0,17.0,1.0,26.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,34.0,10.0,,,,,,,,25.0,57.0,55.0,12.0,2.0,30.0,8.0,48.0,65.0,48.0,39.0,16.0,39.0,39.0,48.0,4.0,18.0,,,,55.0,34.0,50.0,84.0,49.0,,,7.0,21.0,9.0,14.0,5.0,,,,,,,,9.0,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,50.0,26.0,,,,,,15.0,,36.0,6.0,10.0,8.0,82.0,24.0,14.0,40.0,15.0,50.0,19.0,10.0,32.0,3.0,17.0,28.0,3.0,,,,75.0,53.0,58.0,83.0,54.0,,,,,,,,,,,,,,9.0,39.0,8.0,35.0,3.0,,25.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,23.0,13.0,,,,,,59.0,,10.0,16.0,17.0,34.0,13.0,29.0,23.0,9.0,,9.0,29.0,30.0,26.0,1.0,31.0,8.0,,,,,68.0,66.0,5.0,6.0,11.0,2.0,,,,1.0,,,,,,,,,52.0,32.0,109.0,88.0,75.0,,88.0,2.0,54.0,,,,,,,,39.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,17.0,51.0,,18.0,2.0,,,24.0,,,5.0,4.0,24.0,68.0,19.0,19.0,43.0,1.0,42.0,12.0,17.0,8.0,,12.0,39.0,1.0,35.0,12.0,,,91.0,,,,25.0,,,,,,1.0,,,,,,,19.0,3.0,112.0,92.0,36.0,,80.0,1.0,21.0,100.0,47.0,39.0,129.0,91.0,46.0,,158.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
