,relative_displacement
0,3.3529
1,3.3529
2,3.3529
3,3.3529
4,19.4118
5,3.3529
6,3.3529
7,3.3529
8,3.3529
9,3.3529
10,3.3529
11,3.3529
12,3.3529
13,3.3529
14,3.3529
15,3.3529
16,3.3529
17,3.3529
18,19.4118
19,19.4118
20,19.4118
21,3.3529
22,3.3529
23,3.3529
24,3.3529
25,3.3529
26,3.3529
27,3.3529
28,3.3529
29,3.3529
30,3.3529
31,3.3529
32,3.3529
33,3.3529
34,3.3529
35,3.3529
36,19.4118
37,19.4118
38,19.4118
39,19.4118
40,3.3529
41,3.3529
42,3.3529
43,3.3529
44,3.3529
45,3.3529
46,3.3529
47,3.3529
48,3.3529
49,3.3529
50,3.3529
51,3.3529
52,3.3529
53,3.3529
54,3.3529
55,19.4118
56,19.4118
57,19.4118
58,3.3529
59,3.3529
60,3.3529
61,3.3529
62,3.3529
63,3.3529
64,3.3529
65,3.3529
66,3.3529
67,3.3529
68,3.3529
69,3.3529
70,3.3529
71,3.3529
72,19.4118
73,19.4118
74,3.3529
75,3.3529
76,3.3529
77,3.3529
78,3.3529
79,3.3529
80,3.3529
81,3.3529
82,3.3529
83,3.3529
84,3.3529
85,3.3529
86,3.3529
87,3.3529
88,3.3529
89,19.4118
90,19.4118
91,32.4706
92,3.3529
93,3.3529
94,3.3529
95,3.3529
96,3.3529
97,3.3529
98,3.3529
99,3.3529
100,3.3529
101,3.3529
102,3.3529
103,3.3529
104,32.4706
105,3.3529
106,3.3529
107,3.3529
108,3.3529
109,3.3529
110,3.3529
111,3.3529
112,3.3529
113,3.3529
114,3.3529
115,3.3529
116,3.3529
117,3.3529
118,3.3529
119,3.3529
120,32.4706
121,32.4706
122,32.4706
123,3.3529
124,3.3529
125,3.3529
126,32.4706
127,32.4706
128,3.3529
129,32.4706
130,32.4706
131,32.4706
132,32.4706
133,32.4706
134,32.4706
135,32.4706
136,32.4706
137,32.4706
138,32.4706
139,32.4706
140,32.4706
141,32.4706
142,32.4706
143,32.4706
144,32.4706
145,32.4706
146,32.4706
147,32.4706
148,32.4706
149,18.2353
